"name1","name2","coordL","coordB","spectral_type","vis_mag","vmc","abs_mag","amc","prllx","error","distance"
"Alpha Canis Majoris","Sirius",227.2,-8.9,"A1V",-1.46,,1.43,,379.21,1.58,9
"Alpha Carinae","Canopus",261.2,-25.3,"F0Ib",-0.73,,-5.64,,10.43,0.53,310
"Alpha Centauri","Rigil Kentaurus",315.8,-0.700,"G2V+K1V",-0.29,,4.060,,742.12,1.400,4
"Alpha Boötis","Arcturus",15.20,69.0,"K2III",-0.05,,-0.31,,88.85,0.74,37
"Alpha Lyrae","Vega",67.5,19.20,"A0V",0.03,,0.58,,128.93,0.55,25
"Alpha Aurigae","Capella",162.6,4.6,"G5III+G0III",0.07,,-0.49,,77.29,0.89,42
"Beta Orionis","Rigel",209.3,-25.1,"B8Ia",0.15,"v",-6.72,"v",4.22,0.81,770
"Alpha Canis Minoris","Procyon",213.7,13.0,"F5IV-V",0.36,,2.64,,285.93,0.88,11
"Alpha Eridani","Achernar",290.7,-58.8,"B3V",0.45,,-2.77,,22.68,0.570,144
"Alpha Orionis","Betelgeuse",199.8,-9.0,"M2Ib",0.55,"v",-5.04,"v",7.63,1.640,430
"Beta Centauri","Hadar",311.8,1.200,"B1III",0.61,,-5.42,,6.21,0.56,530
"Alpha Aquilae","Altair",47.8,-9.0,"A7V",0.77,,2.21,,194.44,0.940,17
"Alpha Crucis","Acrux",300.2,-0.4,"B0.5IV+B1V",0.79,,-4.17,,10.17,0.67,320
"Alpha Tauri","Aldebaran",181.0,-20.20,"K5III",0.86,"v",-0.64,"v",50.09,0.950,65
"Alpha Scorpii","Antares",351.9,15.10,"M1Ib+B4V",0.950,"v",-5.39,"v",5.4,1.68,600
"Alpha Virginis","Spica",316.1,50.8,"B1V+B2V",0.97,,-3.56,,12.44,0.86,260
"Beta Geminorum","Pollux",192.2,23.3,"K0III",1.140,,1.07,,96.74,0.87,34
"Alpha Piscis Austrini","Fomalhaut",20.6,-65.0,"A3V",1.150,,1.72,,130.08,0.92,25
