[0.0, 0.7006485816399288, 0.2993514183600712]
[1.0, 0.544235026871009, 0.455764973128991]
[1.0, 0.2423945486191229, 0.7576054513808771]
[1.0, 0.1381290665179803, 0.8618709334820197]
[1.0, 0.04101508946406929, 0.9589849105359307]
[1.0, 0.020932855567361575, 0.9790671444326384]
[1.0, 0.005652794790430127, 0.9943472052095699]
[1.0, 0.0028305607599854454, 0.9971694392400146]
[1.0, 7.427940697080082E-4, 0.999257205930292]
[1.0, 3.7545487893997365E-4, 0.99962454512106]
[1.0, 1.4025602286860117E-4, 0.9998597439771314]
[1.0, 3.7490559438912996E-5, 0.9999625094405611]
[1.0, 1.8500774073282322E-5, 0.9999814992259267]
[1.0, 6.887661786358912E-6, 0.9999931123382136]
[1.0, 1.8350309827219746E-6, 0.9999981649690173]
[1.0, 9.112202162819827E-7, 0.9999990887797837]
[1.0, 3.3818156564002777E-7, 0.9999996618184344]
[1.0, 9.060857641962627E-8, 0.9999999093914236]
[1.0, 4.446991574980075E-8, 0.9999999555300843]
[1.0, 1.6520380397011536E-8, 0.9999999834796196]
[1.0, 4.403742037695224E-9, 0.999999995596258]
[1.0, 2.1657227122773293E-9, 0.9999999978342773]
[1.0, 8.089071634742595E-10, 0.9999999991910928]
[1.0, 2.1394952476327944E-10, 0.9999999997860505]
[1.0, 1.0499823233089955E-10, 0.9999999998950018]
[1.0, 3.9459546741227314E-11, 0.9999999999605405]
[1.0, 1.4659162772545642E-11, 0.9999999999853408]
[1.0, 3.901989842347575E-12, 0.999999999996098]
[1.0, 1.923128323255696E-12, 0.9999999999980769]
[1.0, 7.167599846980011E-13, 0.9999999999992832]
[1.0, 1.9628743075372768E-13, 0.9999999999998037]
[1.0, 9.303668946358812E-14, 0.999999999999907]
[1.0, 3.4861002973229915E-14, 0.9999999999999651]
[1.0, 1.2878587085651816E-14, 0.9999999999999871]
[1.0, 3.552713678800501E-15, 0.9999999999999964]
[1.0, 1.7763568394002505E-15, 0.9999999999999982]
[1.0, 6.661338147750939E-16, 0.9999999999999993]
[1.0, 2.220446049250313E-16, 0.9999999999999998]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
[1.0, 0.0, 1.0]
